지점,지점명,일시,평균기온,일강수량,평균 풍속,평균 상대습도,평균 현지기압,평균 전운량
108,서울,2022-05-28,22.3,,2.8,54.1,995.1,2.1
108,서울,2022-05-29,23.1,,2.3,66.4,995,6
108,서울,2022-05-30,20.8,0,2.5,71,992.5,7.9
108,서울,2022-05-31,20.7,,2.5,42.4,997.5,1.4
108,서울,2022-06-01,22.1,,2.6,41.6,995.8,0.6
108,서울,2022-06-02,21.5,,2.7,67.4,997.3,3.9
108,서울,2022-06-03,24.5,,2,62.8,999.4,4.1
108,서울,2022-06-04,25.6,,1.7,57,999.4,7
108,서울,2022-06-05,22.7,0,2.3,59.8,992.9,9.1
108,서울,2022-06-06,19.7,4.3,3.2,69,991.8,6.9
108,서울,2022-06-07,20.6,0,2.7,54.5,997.3,6.4
108,서울,2022-06-08,21.2,,2.3,61.6,1001.1,6.4
108,서울,2022-06-09,20.9,2.6,1.6,76.1,1003,5.5
108,서울,2022-06-10,20.9,1.2,1.9,75.8,1003.8,5.6
108,서울,2022-06-11,24.6,,2.2,59.6,1002.1,3.4
108,서울,2022-06-12,24.6,,2.5,58.9,1001.9,5.8
108,서울,2022-06-13,23.6,18,2.6,68.5,999,7.5
108,서울,2022-06-14,21.5,0,4.2,56.4,998.4,7.8
108,서울,2022-06-15,17.5,18.5,2.3,92.4,996,9.8
108,서울,2022-06-16,20.3,0.7,2.3,78.4,997.7,5.6
108,서울,2022-06-17,22.5,,1.9,76.4,997.9,5.8
108,서울,2022-06-18,23.3,0,1.7,79.6,997.5,7.6
108,서울,2022-06-19,23.4,,1.4,81.6,997.6,8.6
108,서울,2022-06-20,25.2,,1.3,76.6,994.8,6
108,서울,2022-06-21,26.5,,2,72.6,993.9,3.1
108,서울,2022-06-22,25.9,,2.1,71.1,997.1,6.1
108,서울,2022-06-23,24.3,103,2.8,89.1,989.5,8.9
108,서울,2022-06-24,22.6,19.1,3.5,90.9,988.1,8.4
108,서울,2022-06-25,26,,2.8,80.4,994.1,7.5
108,서울,2022-06-26,26.5,,2.6,82.1,998.2,10
108,서울,2022-06-27,26.8,6.1,2.8,84.4,996.7,10
