날짜,PM10,PM2.5,오 존,이산화질소,일산화탄소,아황산가스,"최종확정
여부"
(년-월-일),(㎍/㎥),(㎍/㎥),(ppm),(ppm),(ppm),(ppm),
2024-05-25,18,12,0.0262,0.0173,0.30,0.0027,N
2024-05-24,28,23,0.0333,0.0123,0.28,0.0026,N
2024-05-23,25,19,0.0354,0.0182,0.29,0.0032,N
2024-05-22,47,38,0.0433,0.0198,0.40,0.0035,N
2024-05-21,38,28,0.0455,0.0171,0.34,0.0028,N
2024-05-20,26,18,0.0299,0.0166,0.27,0.0032,N
2024-05-19,19,12,0.0436,0.0114,0.27,0.0029,N
2024-05-18,21,11,0.0411,0.0164,0.32,0.0031,N
2024-05-17,34,21,0.0556,0.0199,0.38,0.0032,N
2024-05-16,15,6,0.0426,0.0113,0.27,0.0028,N
2024-05-15,16,7,0.0435,0.0135,0.27,0.0028,N
2024-05-14,21,14,0.0457,0.0235,0.34,0.0032,N
2024-05-13,22,13,0.0420,0.0192,0.35,0.0028,N
2024-05-12,51,15,0.0430,0.0087,0.27,0.0026,N
2024-05-11,16,8,0.0380,0.0137,0.27,0.0027,N
2024-05-10,23,14,0.0495,0.0165,0.31,0.0031,N
2024-05-09,24,15,0.0444,0.0196,0.33,0.0030,N
2024-05-08,15,10,0.0362,0.0133,0.26,0.0026,N
2024-05-07,19,14,0.0313,0.0140,0.33,0.0024,N
2024-05-06,9,7,0.0399,0.0103,0.30,0.0025,N
2024-05-05,21,16,0.0286,0.0148,0.35,0.0028,N
2024-05-04,45,34,0.0641,0.0300,0.51,0.0043,N
2024-05-03,38,25,0.0495,0.0297,0.42,0.0037,N
2024-05-02,27,19,0.0447,0.0207,0.34,0.0029,N
2024-05-01,21,15,0.0496,0.0117,0.28,0.0027,N
2024-04-30,50,34,0.0414,0.0250,0.47,0.0039,N
2024-04-29,34,20,0.0517,0.0173,0.34,0.0030,N
2024-04-28,30,21,0.0528,0.0252,0.49,0.0034,N
2024-04-27,35,19,0.0455,0.0229,0.44,0.0032,N
2024-04-26,50,24,0.0428,0.0265,0.46,0.0032,N
2024-04-25,24,19,0.0476,0.0197,0.39,0.0026,N
2024-04-24,9,5,0.0280,0.0133,0.28,0.0024,N
2024-04-23,17,11,0.0382,0.0137,0.28,0.0026,N
2024-04-22,26,18,0.0444,0.0152,0.29,0.0026,N
2024-04-21,14,7,0.0454,0.0096,0.27,0.0025,N
2024-04-20,51,27,0.0393,0.0251,0.47,0.0031,N
2024-04-19,78,29,0.0605,0.0290,0.46,0.0043,N
2024-04-18,94,24,0.0343,0.0273,0.45,0.0033,N
2024-04-17,117,40,0.0288,0.0255,0.49,0.0029,N
2024-04-16,66,26,0.0390,0.0184,0.43,0.0028,N
2024-04-15,19,13,0.0339,0.0215,0.35,0.0034,N
2024-04-14,36,22,0.0453,0.0247,0.45,0.0038,N
2024-04-13,33,17,0.0390,0.0233,0.34,0.0032,N
2024-04-12,39,24,0.0387,0.0278,0.41,0.0034,N
2024-04-11,39,20,0.0437,0.0232,0.39,0.0032,N
2024-04-10,37,18,0.0482,0.0126,0.29,0.0027,N
2024-04-09,34,20,0.0462,0.0158,0.33,0.0028,N
2024-04-08,44,29,0.0355,0.0367,0.50,0.0033,N
2024-04-07,46,35,0.0484,0.0292,0.49,0.0036,N
2024-04-06,58,44,0.0412,0.0317,0.49,0.0037,N
2024-04-05,34,22,0.0420,0.0201,0.35,0.0030,N
2024-04-04,27,17,0.0356,0.0189,0.35,0.0030,N
2024-04-03,35,23,0.0230,0.0354,0.46,0.0034,N
2024-04-02,43,24,0.0305,0.0376,0.47,0.0037,N
2024-04-01,33,14,0.0270,0.0278,0.40,0.0031,N
2024-03-31,34,13,0.0321,0.0152,0.34,0.0029,N
2024-03-30,74,22,0.0289,0.0230,0.38,0.0028,N
2024-03-29,191,42,0.0258,0.0217,0.39,0.0025,N
2024-03-28,24,17,0.0196,0.0277,0.44,0.0028,N
2024-03-27,18,14,0.0239,0.0283,0.39,0.0028,N
2024-03-26,7,3,0.0366,0.0164,0.27,0.0022,N
2024-03-25,15,8,0.0370,0.0184,0.31,0.0025,N
2024-03-24,27,16,0.0426,0.0204,0.37,0.0027,N
2024-03-23,46,24,0.0530,0.0145,0.34,0.0024,N
2024-03-22,37,21,0.0357,0.0309,0.43,0.0032,N
2024-03-21,28,22,0.0389,0.0235,0.37,0.0030,N
2024-03-20,31,25,0.0436,0.0123,0.32,0.0026,N
2024-03-19,41,28,0.0425,0.0190,0.38,0.0027,N
2024-03-18,15,8,0.0340,0.0193,0.29,0.0028,N
2024-03-17,75,20,0.0468,0.0097,0.29,0.0027,N
2024-03-16,42,34,0.0414,0.0265,0.42,0.0032,N
2024-03-15,42,35,0.0433,0.0248,0.37,0.0031,N
2024-03-14,50,39,0.0492,0.0250,0.41,0.0032,N
2024-03-13,37,30,0.0399,0.0249,0.44,0.0032,N
2024-03-12,25,20,0.0246,0.0305,0.44,0.0027,N
2024-03-11,28,21,0.0198,0.0390,0.48,0.0031,N
2024-03-10,24,19,0.0296,0.0228,0.37,0.0029,N
2024-03-09,27,18,0.0349,0.0141,0.33,0.0027,N
2024-03-08,35,24,0.0396,0.0141,0.36,0.0029,N
2024-03-07,24,20,0.0323,0.0200,0.36,0.0025,N
2024-03-06,11,8,0.0333,0.0175,0.33,0.0024,N
2024-03-05,36,24,0.0298,0.0269,0.41,0.0029,N
2024-03-04,59,39,0.0225,0.0348,0.52,0.0031,N
2024-03-03,98,70,0.0399,0.0162,0.50,0.0026,N
2024-03-02,29,15,0.0330,0.0167,0.33,0.0028,N
2024-03-01,30,13,0.0392,0.0069,0.26,0.0027,N
