iter	RMSE
0	8.089252079
1	7.74811338
2	7.469746118
3	7.190394757
4	6.902365119
5	6.649469066
6	6.37002075
7	6.114950859
8	5.944706532
9	5.758851316
10	5.453453567
11	5.340785014
12	5.088338567
13	4.930433377
14	4.775835703
15	4.584513004
16	4.384761574
17	4.344709683
18	4.206242602
19	4.089112627
20	3.971256555
21	3.861512574
22	3.734407816
23	3.627135802
24	3.503378659
25	3.36759767
26	3.257583407
27	3.139428369
28	3.01506267
29	2.955022182
30	2.895517113
31	2.791291872
32	2.729370172
33	2.657562373
34	2.534922857
35	2.409891959
36	2.336249115
37	2.211171419
38	2.133871709
39	2.058796654
40	1.98543216
41	1.912388018
42	1.861355036
43	1.791007959
44	1.725825152
45	1.653221005
46	1.613331205
47	1.547613339
48	1.505974624
49	1.457563461
50	1.417363645
51	1.377071266
52	1.311846647
53	1.274200855
54	1.233952488
55	1.185793744
56	1.145932883
57	1.102880158
58	1.067314281
59	1.036411924
60	0.9982850634
61	0.9740814726
62	0.9389120487
63	0.9027675126
64	0.8729191745
65	0.8469500474
66	0.8145699798
67	0.7905795574
68	0.7685729055
69	0.7409130982
70	0.7126984809
71	0.6877520691
72	0.6698358054
73	0.6421480887
74	0.6207940035
75	0.5952683852
76	0.5730271336
77	0.5514858851
78	0.5351851208
79	0.5207776516
80	0.507346803
81	0.4913369543
82	0.4777433098
83	0.4607729635
84	0.4488792114
85	0.4319758034
86	0.4203999686
87	0.4101887315
88	0.3978644016
89	0.3818504737
90	0.3705072932
91	0.3614587249
92	0.3483726164
93	0.3379979229
94	0.3252406107
95	0.3126383488
96	0.3033407639
97	0.2922662983
98	0.2846159839
99	0.2777798744
100	0.2683202831
101	0.2608284179
102	0.2516638812
103	0.2429784256
104	0.2351006376
105	0.2278387442
106	0.2220095003
107	0.2154328178
108	0.2106564278
109	0.205481343
110	0.2023802101
111	0.1980809169
112	0.1934860639
113	0.1907402262
114	0.1863216703
115	0.1827025915
116	0.1776215598
117	0.1712392242
118	0.1669005943
119	0.1604063778
120	0.1547230573
121	0.1493436666
122	0.1452686231
123	0.1407492714
124	0.1369249083
125	0.1337360889
126	0.1313588202
127	0.1285169561
128	0.126295104
129	0.1239590527
130	0.121165024
131	0.1187219812
132	0.1159060358
133	0.1130019191
134	0.1110721368
135	0.1086879043
136	0.1063278602
137	0.1039167724
138	0.1020885812
139	0.1002847494
140	0.09707558582
141	0.09469946831
142	0.09264086666
143	0.09066181302
144	0.08834217819
145	0.08662664906
146	0.08459450489
147	0.08197548831
148	0.07940199118
149	0.07775846503
150	0.0753255071
151	0.07378051584
152	0.07278684554
153	0.07117228231
154	0.069551725
155	0.06804658364
156	0.06647190034
157	0.06524961209
158	0.06413078421
159	0.06237414515
160	0.06112246941
161	0.06031652313
