iter	Passed	Remaining
0	136	21954
1	137	10974
2	137	7301
3	138	5467
4	139	4368
5	139	3631
6	140	3103
7	140	2707
8	141	2399
9	141	2152
10	142	1950
11	142	1782
12	143	1640
13	143	1517
14	144	1411
15	144	1319
16	145	1237
17	145	1164
18	146	1099
19	146	1042
20	147	989
21	148	942
22	148	898
23	149	857
24	149	820
25	150	785
26	150	753
27	151	723
28	151	695
29	152	669
30	152	645
31	153	623
32	154	602
33	154	582
34	155	563
35	155	544
36	156	527
37	156	510
38	156	494
39	156	478
40	157	464
41	157	450
42	157	436
43	158	424
44	158	412
45	159	400
46	159	389
47	159	379
48	159	368
49	160	358
50	160	349
51	160	340
52	161	331
53	161	322
54	161	314
55	161	306
56	162	298
57	162	291
58	162	284
59	163	277
60	163	270
61	163	264
62	163	257
63	164	251
64	164	245
65	164	239
66	165	234
67	165	228
68	165	223
69	165	218
70	166	213
71	166	208
72	166	203
73	167	198
74	167	194
75	167	189
76	168	185
77	168	181
78	168	177
79	168	173
80	169	169
81	169	165
82	169	161
83	169	157
84	170	154
85	171	151
86	171	147
87	171	144
88	172	141
89	172	137
90	172	134
91	172	131
92	173	128
93	173	125
94	173	122
95	174	119
96	174	116
97	174	114
98	175	111
99	175	108
100	175	106
101	175	103
102	176	100
103	176	98
104	176	95
105	177	93
106	177	91
107	177	88
108	177	86
109	178	84
110	178	82
111	178	79
112	179	77
113	179	75
114	179	73
115	179	71
116	180	69
117	180	67
118	180	65
119	181	63
120	181	61
121	181	59
122	181	57
123	182	55
124	182	54
125	183	52
126	183	50
127	183	48
128	183	47
129	184	45
130	184	43
131	184	41
132	185	40
133	185	38
134	185	37
135	185	35
136	186	33
137	186	32
138	186	30
139	187	29
140	187	27
141	187	26
142	188	24
143	188	23
144	188	22
145	188	20
146	189	19
147	189	17
148	189	16
149	190	15
150	190	13
151	190	12
152	190	11
153	191	9
154	191	8
155	191	7
156	192	6
157	192	4
158	192	3
159	192	2
160	193	1
161	193	0
